,index,amount,unit,reference product,name,location,database,CML 2001 (obsolete) | eutrophication potential | average European,CML 2001 (obsolete) | acidification potential | average European,CML 2001 (obsolete) | photochemical oxidation (summer smog) | high NOx POCP,CML 2001 (obsolete) | climate change | GWP 100a,CML 2001 (obsolete) | ionising radiation | ionising radiation,CML 2001 (obsolete) | freshwater aquatic ecotoxicity | FAETP infinite,CML 2001 (obsolete) | stratospheric ozone depletion | ODP steady state,CML 2001 (obsolete) | human toxicity | HTP infinite
20,"Magnetised NdFeB magnet, primary, baseline | pulse magnetising and testing of magnet, primary, baseline |  | kilogram | REM3_6",1.0,kilogram,"Magnetised NdFeB magnet, primary, baseline","pulse magnetising and testing of magnet, primary, baseline",,REM3_6,0.18937123386241808,0.3638471751154113,0.01460759852649355,24.962832471138956,3.360473823587496e-08,45.517198688248016,2.9569158335353487e-06,167.76881988494338
21,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM2_2,0.1205799101632133,0.13876490519166593,0.0053437734628736504,12.367419057956303,3.924321594751124e-08,2.7046389969439266,2.4791444975981464e-06,35.018703505492105
22,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM2_2,0.1460770601826644,0.17111773081736198,0.006540802885591692,13.814162182804365,4.103406289024943e-08,2.998434791655309,2.6754387277405997e-06,140.24438443978954
23,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM2_2",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM2_2,0.1830323931179033,0.2225708273457156,0.00845237423000228,15.873009680136944,4.348898561972927e-08,3.4628183560671566,2.953855240214561e-06,322.7674827501527
24,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM3_6",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM3_6,0.12583064444139497,0.12649491753808179,0.004509000054604037,12.106192653181935,2.6536685583947267e-08,5.671727541425377,2.8386840197741743e-06,40.36399574883316
25,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM3_6",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM3_6,0.15163258962382206,0.1582576141445119,0.0056561841676095095,13.541565404159225,2.86088966918399e-08,6.1274248808406115,3.0782191700645133e-06,145.90533038729234
26,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM3_6",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM3_6,0.18900837469796372,0.20888603469191436,0.007495438147864733,15.585558913576754,3.1554904539615246e-08,6.811686449632202,3.4204318313037615e-06,328.85262795904896
27,"NdO from solvent extraction, primary, Hi-tech | REO solvent extraction, Hi-tech_1 |  | kilogram | REM3_5",0.395096026,kilogram,"NdO from solvent extraction, primary, Hi-tech","REO solvent extraction, Hi-tech_1",,REM3_5,0.1279000848473851,0.12305767413476293,0.004681380347696235,12.327018042184674,2.9155199100875595e-08,2.993351100807364,3.022852702628331e-06,36.4560826180262
28,"NdO from solvent extraction, baseline | REO solvent extraction, baseline_1 |  | kilogram | REM3_5",0.395096026,kilogram,"NdO from solvent extraction, baseline","REO solvent extraction, baseline_1",,REM3_5,0.15371455408718304,0.15473175536422953,0.00586040701927281,13.778250035826922,3.14131378058624e-08,3.3117526757847187,3.2750954137287757e-06,141.78128915666994
29,"NdO from solvent extraction, Low-tech | REO solvent extraction, Low-tech_1 |  | kilogram | REM3_5",0.395096026,kilogram,"NdO from solvent extraction, Low-tech","REO solvent extraction, Low-tech_1",,REM3_5,0.19110129534105708,0.20525516369911528,0.007746552718776362,15.84513423596156,3.462360513824102e-08,3.8095486443889626,3.635904226263942e-06,324.4329340595378
