Label	Full name	Kind	Compartment	Unit
[E287]	Chromium VI[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E288]	Cobalt[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E289]	Copper[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E290]	Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E291]	Hydrocarbons, aliphatic, alkanes, unspecified[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E292]	Hydrocarbons, aliphatic, unsaturated[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E293]	Hydrocarbons, aromatic[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E294]	Iron[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E295]	Lead[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E296]	Mercury[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E297]	Molybdenum[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E298]	PAH, polycyclic aromatic hydrocarbons[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E299]	Selenium[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E300]	Sodium[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E301]	Vanadium[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E302]	Zinc[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E303]	Butane[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E304]	Pentane[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E305]	Barite, 15% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E306]	Particulates, > 10 um[air_low population density]	environmental	[M3] air_low population density	[U3] kg
[E307]	Sulfate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E308]	Water, well, in ground[resource_in water]	environmental	[M8] resource_in water	[U2] m3
[E309]	Colemanite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E310]	Occupation, mineral extraction site[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E311]	Transformation, to mineral extraction site[resource_land]	environmental	[M2] resource_land	[U6] m2
[E312]	Transformation, from forest[resource_land]	environmental	[M2] resource_land	[U6] m2
[E313]	Solids, inorganic[water_river]	environmental	[M6] water_river	[U3] kg
[E314]	Monoethanolamine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E315]	Sodium chlorate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E316]	Cyanide[water_river]	environmental	[M6] water_river	[U3] kg
[E317]	Chlorate[water_river]	environmental	[M6] water_river	[U3] kg
[E318]	Bromate[water_river]	environmental	[M6] water_river	[U3] kg
[E319]	Chlorinated solvents, unspecified[water_river]	environmental	[M6] water_river	[U3] kg
[E320]	Methane, tetrachloro-, R-10[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E321]	Sodium dichromate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E322]	Dichromate[water_river]	environmental	[M6] water_river	[U3] kg
[E323]	DOC, Dissolved Organic Carbon[water_river]	environmental	[M6] water_river	[U3] kg
[E324]	TOC, Total Organic Carbon[water_river]	environmental	[M6] water_river	[U3] kg
[E325]	Ammonium carbonate[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E326]	Hydrogen fluoride[air_unspecified]	environmental	[M14] air_unspecified	[U3] kg
[E327]	Fluorspar, 92%, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E328]	Particulates, < 2.5 um[air_unspecified]	environmental	[M14] air_unspecified	[U3] kg
[E329]	Particulates, > 2.5 um, and < 10um[air_unspecified]	environmental	[M14] air_unspecified	[U3] kg
[E330]	Particulates, > 10 um[air_unspecified]	environmental	[M14] air_unspecified	[U3] kg
[E331]	Hydrogen fluoride[air_low population density]	environmental	[M3] air_low population density	[U3] kg
[E332]	Particulates, > 2.5 um, and < 10um[air_low population density]	environmental	[M3] air_low population density	[U3] kg
[E333]	Uranium-238[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E334]	Thorium-228[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E335]	Radium-226[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E336]	Radon-222[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E337]	Lead-210[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E338]	Polonium-210[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E339]	Potassium-40[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E340]	Fluoride[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E341]	Calcium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E342]	Sulfate[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E343]	Phosphate[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E344]	Cadmium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E345]	Lead[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E346]	Arsenic, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E347]	Chromium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E348]	Copper, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E349]	Manganese[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E350]	Nickel, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E351]	Zinc, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E352]	Uranium-238[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E353]	Thorium-228[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E354]	Radium-226[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E355]	Lead-210[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E356]	Polonium-210[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E357]	Potassium-40[water_ocean]	environmental	[M15] water_ocean	[U15] kBq
[E358]	Occupation, industrial area, vegetation[resource_land]	environmental	[M2] resource_land	[U5] m2a
[E359]	Transformation, to industrial area, vegetation[resource_land]	environmental	[M2] resource_land	[U6] m2
[E360]	Transformation, from industrial area, built up[resource_land]	environmental	[M2] resource_land	[U6] m2
[E361]	Transformation, from industrial area, vegetation[resource_land]	environmental	[M2] resource_land	[U6] m2
[E362]	Transformation, to pasture and meadow[resource_land]	environmental	[M2] resource_land	[U6] m2
[E363]	Transformation, to unknown[resource_land]	environmental	[M2] resource_land	[U6] m2
[E364]	Silicon tetrafluoride[air_low population density]	environmental	[M3] air_low population density	[U3] kg
[E365]	Fluoride[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E366]	Calcium, ion[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E367]	Sulfate[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E368]	Arsenic, ion[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E369]	Manganese[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E370]	Nickel, ion[water_ground-]	environmental	[M11] water_ground-	[U3] kg
[E371]	Uranium-238[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E372]	Thorium-228[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E373]	Radium-226[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E374]	Lead-210[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E375]	Polonium-210[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E376]	Potassium-40[water_ground-]	environmental	[M11] water_ground-	[U15] kBq
[E377]	Metamorphous rock, graphite containing, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E378]	Sulfur dioxide[air_unspecified]	environmental	[M14] air_unspecified	[U3] kg
[E379]	BOD5, Biological Oxygen Demand[water_river]	environmental	[M6] water_river	[U3] kg
[E380]	COD, Chemical Oxygen Demand[water_river]	environmental	[M6] water_river	[U3] kg
[E381]	Hydrocarbons, aromatic[water_river]	environmental	[M6] water_river	[U3] kg
[E382]	Suspended solids, unspecified[water_river]	environmental	[M6] water_river	[U3] kg
[E383]	Hydrogen peroxide[water_river]	environmental	[M6] water_river	[U3] kg
[E384]	Oil, crude, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E385]	Gas, natural, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U12] Nm3
[E386]	Coal, hard, unspecified, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E387]	Coal, brown, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E388]	Peat, in ground[resource_biotic]	environmental	[M12] resource_biotic	[U3] kg
[E389]	Wood, unspecified, standing[resource_biotic]	environmental	[M12] resource_biotic	[U2] m3
[E390]	Energy, potential (in hydropower reservoir), converted[resource_in water]	environmental	[M8] resource_in water	[U9] MJ
[E391]	Uranium, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E392]	Aluminium, 24% in bauxite, 11% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E393]	Clay, bentonite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E394]	Anhydrite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E395]	Clay, unspecified, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E396]	Chromium, 25.5% in chromite, 11.6% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E397]	Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E398]	Dolomite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E399]	Iron, 46% in ore, 25% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E400]	Feldspar, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E401]	Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E402]	Granite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E403]	Gravel, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E404]	Cinnabar, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E405]	Magnesite, 60% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E406]	Nickel, 1.98% in silicates, 1.04% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E407]	Olivine, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E408]	Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E409]	Phosphorus, 18% in apatite, 12% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E410]	TiO2, 95% in rutile, 0.40% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E411]	Sulfur, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E412]	Sand, unspecified, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E413]	Shale, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E414]	Sodium chloride, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E415]	Sodium nitrate, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E416]	Talc, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E417]	Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E418]	Water, salt, ocean[resource_in water]	environmental	[M8] resource_in water	[U2] m3
[E419]	Carbon monoxide, biogenic[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E420]	Fluorine[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E421]	Aldehydes, unspecified[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E422]	Ethene, chloro-[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E423]	Hydrocarbons, chlorinated[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E424]	Cyanide[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E425]	Hydrocarbons, aliphatic, alkanes, cyclic[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E426]	Silver[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E427]	Antimony[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E428]	Xylene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E429]	Benzene, ethyl-[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E430]	Styrene[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E431]	Iron, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E432]	Acidity, unspecified[water_river]	environmental	[M6] water_river	[U3] kg
[E433]	Hydrocarbons, unspecified[water_river]	environmental	[M6] water_river	[U3] kg
[E434]	Oils, unspecified[water_river]	environmental	[M6] water_river	[U3] kg
[E435]	Chlorine[water_river]	environmental	[M6] water_river	[U3] kg
[E436]	Dissolved solids[water_river]	environmental	[M6] water_river	[U3] kg
[E437]	Ethene, chloro-[water_river]	environmental	[M6] water_river	[U3] kg
[E438]	AOX, Adsorbable Organic Halogen as Cl[water_river]	environmental	[M6] water_river	[U3] kg
[E439]	Tin, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E440]	Strontium[water_river]	environmental	[M6] water_river	[U3] kg
[E441]	Pyrite, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E442]	Kaolinite, 24% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E443]	Krypton, in air[resource_in air]	environmental	[M4] resource_in air	[U3] kg
[E444]	Chromium VI[water_river]	environmental	[M6] water_river	[U3] kg
[E445]	Kieserite, 25% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E446]	Ozone[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E447]	Fluorine, 4.5% in apatite, 3% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E448]	Transformation, from mineral extraction site[resource_land]	environmental	[M2] resource_land	[U6] m2
[E449]	Uranium-234[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E450]	Thorium-230[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E451]	Thorium-232[air_low population density]	environmental	[M3] air_low population density	[U15] kBq
[E452]	Radioactive species, alpha emitters[water_river]	environmental	[M6] water_river	[U15] kBq
[E453]	Oils, unspecified[soil_industrial]	environmental	[M16] soil_industrial	[U3] kg
[E454]	Phosphorus, 18% in apatite, 4% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E455]	Fluorine, 4.5% in apatite, 1% in crude ore, in ground[resource_in ground]	environmental	[M7] resource_in ground	[U3] kg
[E456]	Transformation, to forest[resource_land]	environmental	[M2] resource_land	[U6] m2
[E457]	Fluoride[water_unspecified]	environmental	[M13] water_unspecified	[U3] kg
[E458]	Phosphorus[air_high population density]	environmental	[M5] air_high population density	[U3] kg
[E459]	Barium[water_river]	environmental	[M6] water_river	[U3] kg
[E460]	Molybdenum[water_river]	environmental	[M6] water_river	[U3] kg
[E461]	Selenium[water_river]	environmental	[M6] water_river	[U3] kg
[E462]	Silver, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E463]	Xylene[water_river]	environmental	[M6] water_river	[U3] kg
[E464]	Aluminium[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E465]	Barium[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E466]	Boron[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E467]	Chloride[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E468]	Cyanide[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E469]	Hydrocarbons, aromatic[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E470]	Iron, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E471]	Magnesium[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E472]	Mercury[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E473]	Molybdenum[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E474]	Nitrate[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E475]	Phosphorus[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E476]	Potassium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E477]	Selenium[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E478]	Sodium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E479]	Strontium[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E480]	Suspended solids, unspecified[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E481]	t-Butyl methyl ether[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E482]	Vanadium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E483]	Vanadium, ion[water_river]	environmental	[M6] water_river	[U3] kg
[E484]	Xylene[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E485]	Ammonium, ion[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E486]	PAH, polycyclic aromatic hydrocarbons[water_river]	environmental	[M6] water_river	[U3] kg
[E487]	AOX, Adsorbable Organic Halogen as Cl[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E488]	Benzene[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E489]	PAH, polycyclic aromatic hydrocarbons[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E490]	Sulfide[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E491]	Benzene, ethyl-[water_river]	environmental	[M6] water_river	[U3] kg
[E492]	Benzene, ethyl-[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E493]	BOD5, Biological Oxygen Demand[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E494]	DOC, Dissolved Organic Carbon[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E495]	Toluene[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E496]	COD, Chemical Oxygen Demand[water_ocean]	environmental	[M15] water_ocean	[U3] kg
[E497]	Nitrogen, organic bound[water_river]	environmental	[M6] water_river	[U3] kg
